CustomerID,Date,Day,Time,Trip,HomeLat,HomeLon,OfficeLat,OfficeLon,DistanceKM,TrafficLevel,ETA_Minutes,HourOfDay,IsWeekday
CUST_001,2025-01-01,Wednesday,12:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,8.12,High,23.23,12,1
CUST_001,2025-01-01,Wednesday,13:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,18.02,Low,33.77,13,1
CUST_001,2025-01-02,Thursday,07:45,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,21.65,Medium,71.67,7,1
CUST_001,2025-01-02,Thursday,17:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,10.82,High,50.38,17,1
CUST_001,2025-01-03,Friday,15:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,10.84,High,50.11,15,1
CUST_001,2025-01-03,Friday,17:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,24.66,Low,48.29,17,1
CUST_001,2025-01-04,Saturday,08:00,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,17.15,Low,32.95,8,0
CUST_001,2025-01-04,Saturday,19:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.71,Medium,37.99,19,0
CUST_001,2025-01-05,Sunday,07:45,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,9.82,High,44.48,7,0
CUST_001,2025-01-05,Sunday,08:15,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.82,Medium,40.18,8,0
CUST_001,2025-01-06,Monday,13:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,11.23,Medium,35.19,13,1
CUST_001,2025-01-06,Monday,17:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.9,Medium,32.3,17,1
CUST_001,2025-01-07,Tuesday,21:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,6.77,High,29.68,21,1
CUST_001,2025-01-07,Tuesday,21:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,10.43,Low,20.97,21,1
CUST_001,2025-01-08,Wednesday,18:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,10.93,Low,18.74,18,1
CUST_001,2025-01-08,Wednesday,16:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,19.14,High,79.36,16,1
CUST_001,2025-01-09,Thursday,08:00,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,17.12,Medium,47.5,8,1
CUST_001,2025-01-09,Thursday,12:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,17.47,Medium,50.98,12,1
CUST_001,2025-01-10,Friday,06:45,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.42,Medium,42.68,6,1
CUST_001,2025-01-10,Friday,13:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,22.74,Low,41.36,13,1
CUST_001,2025-01-11,Saturday,08:00,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,24.43,High,90.0,8,0
CUST_001,2025-01-11,Saturday,19:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,5.81,High,30.31,19,0
CUST_001,2025-01-12,Sunday,20:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,5.51,Low,11.71,20,0
CUST_001,2025-01-12,Sunday,22:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,16.27,Medium,48.27,22,0
CUST_001,2025-01-13,Monday,10:30,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,17.09,High,64.72,10,1
CUST_001,2025-01-13,Monday,12:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,18.9,Medium,60.11,12,1
CUST_001,2025-01-14,Tuesday,15:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,10.91,Low,23.01,15,1
CUST_001,2025-01-14,Tuesday,17:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,22.85,High,90.0,17,1
CUST_001,2025-01-15,Wednesday,12:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,7.2,Low,8.19,12,1
CUST_001,2025-01-15,Wednesday,11:45,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,15.68,Medium,42.36,11,1
CUST_001,2025-01-16,Thursday,10:00,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,7.4,High,27.37,10,1
CUST_001,2025-01-16,Thursday,14:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.27,Low,21.92,14,1
CUST_001,2025-01-17,Friday,17:15,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,18.93,High,70.77,17,1
CUST_001,2025-01-17,Friday,22:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,17.19,Medium,47.01,22,1
CUST_001,2025-01-18,Saturday,10:45,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,23.17,High,90.0,10,0
CUST_001,2025-01-18,Saturday,11:45,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,16.85,High,76.5,11,0
CUST_001,2025-01-19,Sunday,16:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,9.75,High,38.38,16,0
CUST_001,2025-01-19,Sunday,07:15,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.98,High,58.35,7,0
CUST_001,2025-01-20,Monday,21:45,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,21.71,High,90.0,21,1
CUST_001,2025-01-20,Monday,08:30,To Office,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,9.53,High,42.14,8,1
CUST_001,2025-01-21,Tuesday,14:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,12.95,High,48.2,14,1
CUST_001,2025-01-21,Tuesday,15:30,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,9.57,Medium,27.23,15,1
CUST_001,2025-01-22,Wednesday,21:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,15.33,Low,29.17,21,1
CUST_001,2025-01-22,Wednesday,17:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,23.01,High,90.0,17,1
CUST_001,2025-01-23,Thursday,14:00,To Home,12.912362035654208,77.69014286128198,13.01959818254342,77.61973169683941,11.98,High,46.62,14,1
